Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,405586592,487709497,596648045,695530726,764804469,872067039,958659218,1083240223,1245810056,1320670391,1379888268,1531843575,1665363128,1722905028,1873184358,1896648045,1962011173,2044134078,2254748603,2359776536,2469832402,2677653631,2843016760,2553631285,2453631285,2637988827,2615083799,2727932961,2791061453,2963128492,2983798883,3092178771,3276187709,3395793855,2610038939,3126019385,
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,21125015452,21616228139,23506279900,28048360188,25920665260,29472103270,32014368121,33269509510,36327785495,41638967621,44629891649,49173371529,53123459912,69482723444,85380645042,90835426418,90212747243,102000000000,116000000000,134000000000,171000000000,176000000000,168000000000,176000000000,161000000000,137000000000,153000000000,187000000000,205000000000,218000000000,254000000000,277000000000,246000000000,243000000000,240000000000,270000000000,269000000000,283000000000,267000000000,263000000000,285000000000,260000000000,267000000000,354000000000,440000000000,514000000000,578000000000,663000000000,711000000000,722000000000,864000000000,968000000000,975000000000,986000000000,1010000000000,927000000000,885000000000,1020000000000,1010000000000,1000000000000,928000000000,1080000000000,1170000000000
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,537777811,548888896,546666678,751111191,800000044,1006666638,1399999967,1673333418,1373333367,1408888922,1748886596,1831108971,1595555476,1733333264,2155555498,2366666616,2555555567,2953333418,3300000109,3697940410,3641723322,3478787909,,,,,,,,,,,,,,,,,,,,,3854235264,4539496563,5220825049,6226198935,6971383339,9715765105,10249770319,12154835708,15633843662,18190413832,20203572960,20564485419,20550582747,19998143636,18019554403,18896353156,18418860354,18904502222,20143451706,14583135237,
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,10447637853,11173212080,11990534018,12727688165,13898109284,14929792388,15910837742,14510579889,14968235782,16979315745,23596163865,20936358634,25386169423,31975594565,44416677335,51667190242,62351622300,65595122956,71496496574,88948338390,112000000000,211000000000,187000000000,138000000000,115000000000,117000000000,108000000000,111000000000,109000000000,102000000000,122000000000,118000000000,119000000000,99272180411,86636400266,109000000000,126000000000,128000000000,131000000000,138000000000,141000000000,149000000000,177000000000,205000000000,254000000000,311000000000,397000000000,465000000000,568000000000,508000000000,599000000000,682000000000,738000000000,834000000000,894000000000,769000000000,691000000000,685000000000,767000000000,823000000000,786000000000,844000000000,878000000000
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,5930503401,5550483036,5550483036,5784341596,6131475065,7554065410,7072536109,8084412414,8769836769,10201780977,11229515599,12704558517,15114352005,11051939102,3390500000,5561222222,7526963964,7648377413,6506229607,6152922943,9129594819,8936079253,15285592487,17812704626,23552057820,36970901025,52381025105,65266415707,88538664888,70307196477,81699526881,109000000000,125000000000,133000000000,137000000000,87219300385,49840491178,68972769396,77792944472,69309110146,50241368244,65685435100,107000000000
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,1857338012,1897050133,2097326250,2080796250,2051236250,2253090000,2028553750,1099559028,652174991,1185315468,1880950858,2392764853,3199640826,2258513974,2545964541,3212121651,3480355258,3922100794,4348068242,5611496257,7184685782,8052077209,8896074996,10677324873,12881352878,12044205572,11926926654,12890760273,12319834233,12776224537,13228147516,11386853143,11861199831,13019726212,15156424062,15401826081,15162734205,17930565119,18882095518
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,78617623,89406588,113414399,150841574,186557164,220112880,227284062,253998001,308020289,411548366,446377572,388982991,375914807,327849982,330073057,346742876,481996191,611300147,721425972,795489464,1028989394,1106891025,1209992650,1007090915,1017544675,1178745314,1224023416,1180646068,1211953954,1239840270,1429048106,1546912332,1755989899,2361635782,2895047587,3159826892,3456265062,3952397735,4085781939,3674188229,3449925739,3629133575,3188652765,3193512950,3271685597,2789881259,2896610480,3000162081,3218419897,3155149348,2891001149,3325145407,3352032737
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,34715404211,37827652252,42768536551,49428519673,58935857749,74780454402,142000000000,157000000000,196000000000,226000000000,250000000000,338000000000,460000000000,475000000000,445000000000,418000000000,426000000000,419000000000,407000000000,441000000000,425000000000,456000000000,644000000000,472000000000,474000000000,483000000000,508000000000,556000000000,614000000000,662000000000,649000000000,717000000000,820000000000,803000000000,808000000000,894000000000,1060000000000,1300000000000,1550000000000,1800000000000,2260000000000,1990000000000,2330000000000,2560000000000,2800000000000,2860000000000,2910000000000,2550000000000,2540000000000,2640000000000,2840000000000,2870000000000,2530000000000,2930000000000,3560000000000
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,14720728252,19213156353,24871775165,23775765254,31225660993,43599160062,49333424149,46622718618,42803323357,41807954241,40603650232,33943612095,36384908744,36275674203,41464995914,50701443748,51552165622,54239171888,55625170253,59305093980,65743666576,73571233996,78839008445,75674336283,84445473111,104000000000,103000000000,110000000000,124000000000,148000000000,181000000000,222000000000,258000000000,315000000000,254000000000,290000000000,351000000000,385000000000,400000000000,414000000000,370000000000,369000000000,391000000000,427000000000,418000000000,349000000000,415000000000,508000000000
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,,,24450604878,18272123664,25605249382,28344705967,28630474728,24256667553,26436857247,31256284544,31584210366,33293199095,34733000536,52544000117,72436777342,52438647922,51169499892,56781000101,89049453088,69252328952,76961923741,78676842367,84307486837,104000000000,117000000000,88150891728,106000000000,109000000000,127000000000,76629728760,141000000000,190000000000,229000000000,237000000000,257000000000,258000000000,272000000000,293000000000,299000000000,284000000000,284000000000,269000000000,97724004252,128000000000,165000000000,199000000000,233000000000,288000000000,362000000000,333000000000,424000000000,530000000000,546000000000,552000000000,526000000000,595000000000,558000000000,644000000000,525000000000,448000000000,386000000000,487000000000,633000000000
